Property Name,Reported,Tax Parcel,Largest Property Type,Building Address,Zip,Reported Gross Floor Area (Sq Ft),Site EUI (Energy Use Intensity kBtu/ft²),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link,Property Owner Name,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
Spangler Center,Reported,2200490000,Other - Entertainment/Public Assembly,117 Western Ave,2163,139437.0,,,,Other - Entertainment/Public Assembly,2000.0,803.8,5.8,12297825,0.295,0.16,0.5494,,,,,17.57,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",,,803800.0,submitted,
Rock Center,Reported,2200530000,Office,60 North Harvard Street,2163,27782.0,,66.0,,Office,1969.0,125.8,4.5,1857235.1,0.3646,,0.6354,,,,,17.43,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",,,125800.0,submitted,
Wilder House,Reported,2200530000,Office,680 Soldiers Field Road,2163,6377.0,,94.0,,Office,1926.0,27.2,4.3,406814.2,0.1137,,0.8863,,,,,17.87,Not Available,"Until March 2019, water was allocated by gross square footage for this property, and did not represent actual usage. After March 2019, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 12% of the meter shared with Mellon Hall.  Allocation is by GSF.",,,27200.0,submitted,
Teele Hall,Reported,2201058010,Office,230 Western Ave,2134,52688.0,,90.0,,Office,1984.0,142.5,2.7,2116848.3,0.835,0.165,,,,,,3.6,29949,A 25 kW solar PV system was installed March 2017,,,142500.0,submitted,
Shattuck Int’l House,Reported,2100005010,Multifamily Housing,203 Park Drive,2215,60077.0,,98.0,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2006",Multifamily Housing,1920.0,167.8,2.8,2940814.2,0.2311,0.7689,,,,,,17.04,Not Available,,,,167800.0,submitted,
Hawes Hall,Reported,2200530000,College/University,37 Harvard Way,2163,61104.0,,,,College/University,2002.0,221.5,3.6,3206977.8,0.7121,,0.2879,,,,,17.25,Not Available,"Electricity usage is high because Crimson Commons electricity load comes off of this building. Crimson Commons can account for ~72,000 kWh monthly. Electricity was not deducted from the Hawes meter, but I manually added electricity usage for Crimson Commons. 

Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",,,221500.0,submitted,
Cotting House,Reported,2200530000,Office,50 Harvard Way,2163,16747.0,,99.0,,Office,1968.0,33.5,2,496720.1,0.2899,,0.711,,,,,17.01,Not Available,"Water is allocated by gross square footage for this property, and does not represent actual usage.",,,33500.0,submitted,
Tai Tung Village,Reported,305021000,Multifamily Housing,230 Harrison Avenue,2111,282390.0,,53.0,,"Multifamily Housing, Parking",1973.0,1388.6,5.6,25108528.8,0.1287,0.8713,,,,,,55.31,Not Available,,,,1388600.0,submitted,
Mission Main III,Reported,1000001035,Multifamily Housing,39 McGreevey Way,2120,140058.0,,76.0,,"Multifamily Housing, Parking",2000.0,453.2,3.7,7802560.4,0.2921,0.779,,,,,,88.72,Not Available,This parcel consists of 6 buildings.,,,453200.0,submitted,
St. Botolph,Reported,402270000,Multifamily Housing,351-367 Massachusetts Ave,2115,46200.0,,14.0,,Multifamily Housing,1899.0,284.2,6.2,5007375.3,0.2137,0.7863,,,,,,54.98,Not Available,,,,284200.0,submitted,
Castle Square-0500478002,Reported,500478002,Multifamily Housing,484 Tremont St,2116,358603.0,,17.0,2014,Multifamily Housing,1965.0,2519.7,7,45800269.8,0.1117,0.8883,,,,,,86.05,Not Available,,,,2519700.0,submitted,
Bornstein & Pearl,Reported,1300952000,Food Service,196 Quincy St,2121,36000.0,,,,Food Service,1930.0,425.5,11.8,7159798.9,0.3714,0.6286,,,,,,7834.22,Not Available,National Grid gas usage had more estimated data for 2018 data than in 2017.-8/22/19,,,425500.0,submitted,
Mission Main II,Reported,1000001020	1000001021	1000001030	1000001031	1000001040	1000001041	1000001045,Multifamily Housing,21 Cornelia Street,2120,287434.0,,92.0,,"Multifamily Housing, Parking",2000.0,728.8,2.9,12535734.1,0.2953,0.747,,,,,,63.76,Not Available,This property contains 4 parcels consisting of 11 buildings.,,,728800.0,submitted,
WILSHIRE WESTMINSTER (frmly Westminster Court),Reported,1101702000,Multifamily Housing,30 Westminster Avenue,2119,67320.0,,38.0,,"Multifamily Housing, Parking",1960.0,356.1,5.8,6398196,0.1492,0.858,,,,,,33643.89,Not Available,,,,356100.0,submitted,
Roxbury Corners-0901180010,Reported,901180010,Multifamily Housing,1801 Washington Street,2118,50949.0,,57.0,,"Multifamily Housing, Parking",1991.0,215.2,4.5,3704678.8,0.2928,0.772,,,,,,42.27,Not Available,,,,215200.0,submitted,
Mission Main I,Reported,1000001005; 1000001055; 1000001050; 1000001015; 1000001025,Multifamily Housing,43 Smith Street,2120,528033.0,,81.0,,"Multifamily Housing, Office, Parking",2000.0,1402.5,3.1,23950341.7,0.3199,0.681,,,,,,48.72,Not Available,This property consists of 5 parcels with a total of 15 buildings.,,,1402500.0,submitted,
Parmelee Court-1762,Reported,801615010,Multifamily Housing,1762 Washington Street,2118,56543.0,,12.0,,"Multifamily Housing, Parking",1991.0,313.9,6.2,5522057,0.2192,0.788,,,,,,67.11,Not Available,,,,313900.0,submitted,
New Academy Estates-2897-2933 Washington,Reported,1100915001,Multifamily Housing,2897-2933 Washington Street,2119,173178.0,,62.0,,"Multifamily Housing, Parking",2001.0,436.2,5,7742520.7,0.1895,0.815,,,,,,75.02,Not Available,This parcel number contains 7 individual buildings that share meters.,,,436200.0,submitted,
Beryl Gardens,Reported,903082100,Multifamily Housing,103 Madison Park Court,2120,25000.0,,60.0,,Multifamily Housing,1998.0,117.3,4.7,2054305.1,0.2345,0.7655,,,,,,17.06,Not Available,,,,117300.0,submitted,
Hope in Dorchester,Reported,1402076000,Multifamily Housing,88 Nightingale Street,2124,22955.0,,,,"Multifamily Housing, Parking",2003.0,46.5,2.8,839712,0.1341,0.8659,,,,,,31.68,Not Available,,,,46500.0,submitted,
Latin Academy I / New Girls Latin Academy,Reported,1704781102; 1704781104; 1704781100,Multifamily Housing,380 Talbot Avenue,2124,89235.0,,11.0,,Multifamily Housing,1900.0,527.4,5.9,9052056.6,0.329,0.6971,,,,,,55.73,Not Available,Waiting on updated characteristics from Winn.,,,527400.0,submitted,
CharlesNewtown,Reported,0202734000	0202740000	0202745000,Multifamily Housing,89 Medford Street,2129,301028.0,,16.0,,"Multifamily Housing, Parking",1971.0,1709,7.1,30293193.8,0.1939,0.861,,,,,,89.92,Not Available,,,,1709000.0,submitted,
