BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip  Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),BERDO Emissions Gross Floor Area (Sq Ft),Largest Property Type,All Property Types and GFAs,Total Site Energy Usage (kBtu),Energy Star Score,Site EUI (Energy Use Intensity kBtu/ft²),Natural Gas Usage (kBtu),Natural Gas Emissions (kgCO2e),Electricity Usage (kWh),Electricity Emissions (kgCO2e),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Hot Water Emissions (kgCO2e),District Chilled Water Usage (kBtu),District Chilled Water Emissions (kgCO2e),District Steam Usage (kBtu),District Steam Emissions (kgCO2e),Fuel Oil 1 Usage (kBtu),Fuel Oil 1 Emissions (kgCO2e),Fuel Oil 2 Usage (kBtu),Fuel Oil 2 Emissions (kgCO2e),Fuel Oil 4 Usage (kBtu),Fuel Oil 4 Emissions (kgCO2e),Fuel Oil 5 and 6 Usage (kBtu),Fuel Oil 5 and 6 Emissions (kgCO2e),Propane Usage (kBtu),Propane Emissions (kgCO2e),Diesel Usage (kBtu),Diesel Emissions (kgCO2e),Kerosene Usage (kBtu),Kerosene Emissions (kgCO2e),Water Usage Intensity (Gallons/ft²),Estimated Total GHG Emissions e(kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected),Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Corresponding Campus ID,Notes
101139,1810142000,BOSTON HOUSING AUTHORITY,156-162 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3600.0,,3600.0,Multifamily Housing,Multifamily Housing (3600),375788.1,,104.4,261800.0,13904.198,33408.0,6499.86,,,,,,,,,,,,,,,,,,,,,,70.98,20404.058,in compliance,2025.0,Unsure,No,No,No,No,No,,
101140,1810142000,BOSTON HOUSING AUTHORITY,164-178 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),828271.4,,125.5,619300.0,32891.023,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,78.24,44807.045,in compliance,2025.0,Unsure,No,No,No,No,No,,
101141,1810142000,BOSTON HOUSING AUTHORITY,165-175 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,5600.0,,5600.0,Multifamily Housing,Multifamily Housing (5600),715908.0,,127.8,538600.0,28605.046,51966.0,10110.505,,,,,,,,,,,,,,,,,,,,,,145.33,38715.551,in compliance,2025.0,Unsure,No,No,No,No,No,,
101142,1810142000,BOSTON HOUSING AUTHORITY,177-191 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),715471.4,,108.4,506500.0,26900.215,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,94.45,38816.237,in compliance,2025.0,Unsure,No,No,No,No,No,,
101143,1810142000,BOSTON HOUSING AUTHORITY,180-186 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3800.0,,3800.0,Multifamily Housing,Multifamily Housing (3800),459117.4,,120.8,338800.0,17993.668,35263.0,6860.769,,,,,,,,,,,,,,,,,,,,,,101.22,24854.437,in compliance,2025.0,Unsure,No,No,No,No,No,,
101144,1810142000,BOSTON HOUSING AUTHORITY,188-202 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),832771.3,,126.2,623800.0,33130.018,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,74.88,45046.04,in compliance,2025.0,Unsure,No,No,No,No,No,,
101145,1810142000,BOSTON HOUSING AUTHORITY,193-207 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),804971.3,,122.0,596000.0,31653.56,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,81.4,43569.582,in compliance,2025.0,Unsure,No,No,No,No,No,,
101146,1810142000,BOSTON HOUSING AUTHORITY,204-214 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,5600.0,,5600.0,Multifamily Housing,Multifamily Housing (5600),703808.0,,125.7,526500.0,27962.415,51966.0,10110.505,,,,,,,,,,,,,,,,,,,,,,84.98,38072.92,in compliance,2025.0,Unsure,No,No,No,No,No,,
101147,1810142000,BOSTON HOUSING AUTHORITY,216-230 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),860871.3,,130.4,651900.0,34622.409,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,62.49,46538.431,in compliance,2025.0,Unsure,No,No,No,No,No,,
101148,1810142000,BOSTON HOUSING AUTHORITY,215-225 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,5600.0,,5600.0,Multifamily Housing,Multifamily Housing (5600),584908.0,,104.4,407600.0,21647.636,51966.0,10110.505,,,,,,,,,,,,,,,,,,,,,,75.15,31758.141,in compliance,2025.0,Unsure,No,No,No,No,No,,
101149,1810142000,BOSTON HOUSING AUTHORITY,232-238 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3800.0,,3800.0,Multifamily Housing,Multifamily Housing (3800),630217.4,,165.8,509900.0,27080.789,35263.0,6860.769,,,,,,,,,,,,,,,,,,,,,,118.57,33941.558,in compliance,2025.0,Unsure,No,No,No,No,No,,
101150,1810142000,BOSTON HOUSING AUTHORITY,240-254 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),861971.3,,130.6,653000.0,34680.83,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,112.12,46596.852,in compliance,2025.0,Unsure,No,No,No,No,No,,
101151,1810142000,BOSTON HOUSING AUTHORITY,245-251 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3600.0,,3600.0,Multifamily Housing,Multifamily Housing (3600),425388.1,,118.2,311400.0,16538.454,33408.0,6499.86,,,,,,,,,,,,,,,,,,,,,,64.75,23038.314,in compliance,2025.0,Unsure,No,No,No,No,No,,
101152,1810142000,BOSTON HOUSING AUTHORITY,255-261 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,3600.0,,3600.0,Multifamily Housing,Multifamily Housing (3600),481294.9,,133.7,367299.9,19507.298,33410.0,6500.25,,,,,,,,,,,,,,,,,,,,,,107.93,26007.548,in compliance,2025.0,Unsure,No,No,No,No,No,,
101153,1810142000,BOSTON HOUSING AUTHORITY,256-270 Garfield Ave,Boston,2136.0,1  41 Bow St,Boston,2136.0,6600.0,,6600.0,Multifamily Housing,Multifamily Housing (6600),859971.4,,130.3,651000.0,34574.61,61246.0,11916.022,,,,,,,,,,,,,,,,,,,,,,124.73,46490.632,in compliance,2025.0,Unsure,No,No,No,No,No,,
