BERDO ID,Tax Parcel ID,Property Owner Name,Building Address,Building Address City,Building Address Zip Code,Parcel Address,Parcel Address City,Parcel Address Zip Code,Reported Gross Floor Area (Sq Ft),Reported Enclosed Parking Area (Sq Ft),Largest Property Type,All Property Types,Site EUI (Energy Use Intensity kBtu/ft²),Energy Star Score,Total Site Energy Usage (kBtu),Natural Gas Usage (kBtu),Electricity Usage (kBtu),Renewable System Electricity Usage Onsite (kBtu),District Hot Water Usage (kBtu),District Chilled Water Usage (kBtu),District Steam Usage (kBtu),Fuel Oil 1 Usage (kBtu),Fuel Oil 2 Usage (kBtu),Fuel Oil 4 Usage (kBtu),Fuel Oil 5 and 6 Usage (kBtu),Propane Usage (kBtu),Diesel Usage (kBtu),Kerosene Usage (kBtu),Water Usage Intensity (Gallons/ft²),Compliance Status,BERDO Reporting Status,Community Choice Electricity Participation,Renewable Energy Purchased through a Power Purchase Agreement (PPA),Renewable Energy Certificate (REC) Purchase,Backup Generator,Battery Storage,Electric Vehicle (EV) Charging,Cooresponding Campus ID,Notes,Estimated Total GHG Emissions (kgCO2e),Reporting Compliance Status,First Emissions Compliance Year (Projected)
106809,902643102,whittier 1a-9 preservation associates lp,154 ruggles st,boston,2120,155  185 cabot st,boston,2120.0,23542.0,,Multifamily Housing,Multifamily Housing,37.9,,892526.2,443677.6,448848.6,,,,,,,,,,,,39.58,in compliance,7 - berdo accepted,Yes,No,No,No,No,Yes,23775424.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
106007,2005788000,sumark associates llc,1910-1920 centre street,boston,2132,1910  1920 centre st,boston,2132.0,25350.0,0,Other,"Bank Branch, Office, Other, Outpatient Rehabilitation/Physical Therapy, Parking",31.0,,786079.8,302685,483394.8,,,,,,,,,,,,1.96,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,22487033.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
100322,502539000,aida caspi glasser trust,128 chestnut street,boston,2108,128 chestnut st,boston,2108.0,21960.0,,Multifamily Housing,Multifamily Housing,100.6,57,2208116.1,,169443.3,,,,,,2038672.8,,,,,,18.54,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
106884,104164006,city of boston,143 porter street,boston,2128,orleans st,boston,2128.0,36753.0,,Other - Recreation,Other - Recreation,18.2,,735680.4,,500224.8,,,,,,235455.6,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,4019903.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
107255,104164006,city of boston,143 porter street,boston,2128,orleans st,boston,2128.0,3681.0,,Self-Storage Facility,,,,,,,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,4019903.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
102990,2102105000,five 78 condo assn,5 colliston rd,boston,2135,78 kilsyth rd,boston,2135.0,17615.0,,Multifamily Housing,Multifamily Housing,87.9,,1547833.6,1353800,194033.6,,,,,,,,,,,,26.45,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
102383,503015000,commonwealth condo tr,362-366 commonwealth ave,boston,2115,90  82 massachusetts av,boston,2115.0,49412.0,,Multifamily Housing,Multifamily Housing,81.3,75,4016656.7,3272799.8,743856.9,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
105635,903214000,school house kenilworth,6 kenilworth st,boston,2119,6 kenilworth st,boston,2119.0,34688.0,,Multifamily Housing,,50.9,,1766885.0,1378261.6,388623.4,,,,,,,,,,,,18.15,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
105634,902131000,school house kenilworth,37 williams st,boston,2119,37 williams st,boston,2119.0,32448.0,,Multifamily Housing,,48.8,80,1582837.5,1103267.2,479570.2,,,,,,,,,,,,37.24,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
102500,501312000,copley condominium trust,265-275 dartmouth st,boston,2116,265  275 dartmouth st,boston,2116.0,42873.0,,Multifamily Housing,Multifamily Housing,24.1,100,1032566.8,,1032566.7,,,,,,,,,,,,,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
102623,104004000,daniel webster condo tr,72 lubec st,boston,2128,72 lubec st,boston,2128.0,19798.0,,Multifamily Housing,Multifamily Housing,40.3,61,797309.4,,797309.3,,,,,,,,,,,,40.6,in compliance,7 - berdo accepted,I'm not sure,No,No,No,No,No,,,,in compliance,
102090,1803703000,city of boston,154-164 ruskindale rd,boston,2136,154  156 ruskindale rd,boston,2136.0,25791.0,,K-12 School,,107.4,,2769411.9,2769411.9,,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,4028170.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
103369,1202371000,grove hall redeveloper llc,102 elm hill ave,boston,2121,102  108 elm hill av,boston,2121.0,31920.0,,Multifamily Housing,,76.9,,2456213.8,2069125.9,387088.0,,,,,,,,,,,,43.37,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
107256,200276000,city of boston,50 school st.,boston,2129,50 school st,boston,2129.0,1379.0,,K-12 School,K-12 School,38.8,,53488.7,,53488.7,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,4028274.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
101881,200276000,city of boston,50 school st.,boston,2129,50 school st,boston,2129.0,59330.0,,K-12 School,K-12 School,60.7,77,3603530.0,3095577,507953.0,,,,,,,,,,,,9.03,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,4028274.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
103370,1202393000,grove hall redeveloper llc mass llc,575 blue hill ave,boston,2121,573  577 blue hill av,boston,2121.0,36300.0,,Multifamily Housing,Multifamily Housing,66.9,85,2429525.8,2019761.7,409764.1,,,,,,,,,,,,51.34,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
101513,900705000,brownstone apartments llc a mass llc,159 w springfield st,boston,2118,161  159 w springfield st,boston,2118.0,17685.0,,Multifamily Housing,,77.6,,1373118.1,1109507,263611.1,,,,,,,,,,,,43.26,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
100457,401476000,astor assets inc,64 burbank st,boston,2115,70  64 burbank st,boston,2115.0,35000.0,,Multifamily Housing,Multifamily Housing,59.5,78,2082694.9,1500672.4,582022.4,,,,,,,,,,,,48.89,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
106427,903162020,two451 washington llc mass llc,2451 washington street,boston,2119,2451 washington st,boston,2119.0,25290.0,,Multifamily Housing,Multifamily Housing,31.9,,807012.1,286300,520712.1,,,,,,,,,,,,10.85,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
106408,400206000,two clarendon sq condo tr,2 clarendon st,boston,2116,2 clarendon st,boston,2116.0,65000.0,,Multifamily Housing,Multifamily Housing,45.9,67,2983121.1,1101699.9,1881421.2,,,,,,,,,,,,41.09,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
101540,401440000,burbank gardens apartments   llc,31 burbank street,boston,2115,31  41 burbank st,boston,2115.0,40461.0,,Multifamily Housing,,83.5,46,3379310.7,2791412.9,587897.8,,,,,,,,,,,,36.63,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
104778,401396000,norway housing assoc lps,30 hemenway st,boston,2115,30 hemenway st,boston,2115.0,31104.0,,Multifamily Housing,Multifamily Housing,76.9,59,2391043.4,113829.2,464335.7,,,,,,1812878.4,,,,,,42.18,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
103944,401132000,john hancock mutual life,,boston,2116,372  380 stuart st,boston,2116.0,149420.0,,Office,Office,27.3,,4075482.2,,2353734.1,,,,1721748.1,,,,,,,,7.12,in compliance,7 - berdo accepted,No,No,No,Yes,No,No,,,,in compliance,
101231,1811281000,boston trinity academy inc,"17 hale st, boston, ma 02136",boston,2136,29 hale st,boston,2136.0,100000.0,0,K-12 School,,41.7,97,4169080.7,3717999.9,451080.7,79974.2,,,,,,,,,,,383.72,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
100046,1000517000,1480 tremont realty trust,1480 tremont st,boston,2120,1486 tremont st,boston,2120.0,75370.0,0,Multifamily Housing,"Multifamily Housing,Parking",56.3,75,4241862.1,2483975.8,1757886.3,,,,,,,,,,,,33.25,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
105051,1602418001,pf redfield llc mass llc,50 redfield st,boston,2122,50 redfield st,boston,2122.0,42669.0,0,Office,"Office,Parking",29.3,82,1251407.4,69900,1181507.4,,,,,,,,,,,,2.52,in compliance,7 - berdo accepted,No,No,No,No,No,No,,,,in compliance,
100382,1404242000,amiff housing associates,70-74 american legion hwy,boston,2124,70  74 american legion hw,boston,2124.0,29440.0,,Multifamily Housing,Multifamily Housing,9.7,100,287000.4,5353239.5,287000.4,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,22816898.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
100383,1404246000,amiff housing associates,64-68 american legion hwy,boston,2124,64  68 american legion hw,boston,2124.0,22748.0,,Multifamily Housing,Multifamily Housing,12.1,100,275399.6,,275399.6,,,,,,,,,,,,,in compliance,7 - berdo accepted,No,No,No,No,No,No,22816898.0,This building has been reported as part of a campus within Energy Star Portfolio Manager. This reported row of data may not encompass the energy and water usage of the entire buidling. See this building's cooresponding Campus ID at the bottom of this data disclosure spreadsheet to view the reported energy usage for the entire campus of buildings. ,,in compliance,
